"Manu","Model","Yearmanu","NO-SEATS","SPEED","MODEL","TYPE-ACFT"
"CESSNA AIRCRAFT COMPANY","421B","1972","008"
"KAVANAGH BALLOONS","B-350","2012","019"
"BEECH AIRCRAFT CORP","58","1975","006"
"DOUGLAS AIRCRAFT COMPANY","DC3-G202A","1938","032"
"PIPER AIRCRAFT CORP","PA-31","1976","008"
"AMATEUR BUILT AIRCRAFT","RV-10","2006","004"
"CESSNA AIRCRAFT COMPANY","337A","1965","006"
"BEECH AIRCRAFT CORP","D95A","1966","006"
"CESSNA AIRCRAFT COMPANY","337B","1967","006"
"MCDONNELL DOUGLAS CORP.","DC3C-S1C3G","1942","032"
"CESSNA AIRCRAFT COMPANY","337G","1974","006"
"CESSNA AIRCRAFT COMPANY","310R","1976","006"
"PIPER AIRCRAFT CORP","PA-31-350","1977","008"
"PIPER AIRCRAFT CORP","PA-31","1980","008"
"CESSNA AIRCRAFT COMPANY","310R","1978","006"
"BEECH AIRCRAFT CORP","76","1981","004"
"MCDONNELL DOUGLAS CORP.","DC3C-S1C3G","1944","032"
"HAWKER BEECHCRAFT CORPORATION","G58","2008","006"
"BEECH AIRCRAFT CORP","76","1979","004"
"CESSNA AIRCRAFT COMPANY","402C","1980","010"
"SCOTTISH AVIATION","TWIN PIONEER SER 3","1958","019"
"ISRAEL AIRCRAFT INDUSTRIES LTD","1124","1980","010"
"ISRAEL AIRCRAFT INDUSTRIES LTD","1124","1979","010"
"ISRAEL AIRCRAFT INDUSTRIES LTD","1124","1980","010"
"BEECH AIRCRAFT CORP","58","1979","006"
"BEECH AIRCRAFT CORP","58","1978","006"
"BEECH AIRCRAFT CORP","D55","1968","006"
"PIPER AIRCRAFT CORP","PA-23-250","1965","006"
"BEECH AIRCRAFT CORP","95-B55","1974","006"
"PIPER AIRCRAFT CORP","PA-30","1964","004"
"BEECH AIRCRAFT CORP","65-B80","1975","009"
"HAWKER BEECHCRAFT CORPORATION","B200C","2011","011"
"HAWKER BEECHCRAFT CORPORATION","B200C","2011","015"
"HAWKER BEECHCRAFT CORPORATION","B200C","2011","011"
"HAWKER BEECHCRAFT CORPORATION","B200C","2011","015"
"HAWKER BEECHCRAFT CORPORATION","B200C","2011","011"
"HAWKER BEECHCRAFT CORPORATION","B200C","2011","015"
"FAIRCHILD INDUSTRIES INC","SA227-DC","1994","025"
"LEARJET INC","60","2004","006"
"LEARJET INC","60","2004","011"
"CESSNA AIRCRAFT COMPANY","404","1976","008"
"CESSNA AIRCRAFT COMPANY","404","1976","052"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","ERJ 170-100 LR","2005","070"
"CESSNA AIRCRAFT COMPANY","404","1977","008"
"CESSNA AIRCRAFT COMPANY","404","1977","052"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","ERJ 170-100 LR","2013","070"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","ERJ 170-100 LR","2009","070"
"FAIRCHILD INDUSTRIES INC","SA227-DC","1995","025"
"FAIRCHILD INDUSTRIES INC","SA227-DC","1993","025"
"PIPER AIRCRAFT CORP","PA-34-200T","1979","007"
"CESSNA AIRCRAFT COMPANY","T303","1981","004"
"PARTENAVIA COSTRUZIONI AERONAUTICHE SPA","P.68C","1985","007"
"CESSNA AIRCRAFT COMPANY","525","1998","008"
"BEECH AIRCRAFT CORP","95-B55","1968","006"
"KAVANAGH BALLOONS","B-350","2008","019"
"BEECH AIRCRAFT CORP","95-B55","1967","006"
"CESSNA AIRCRAFT COMPANY","401A","1969","008"
"CESSNA AIRCRAFT COMPANY","402B","1974","010"
"CESSNA AIRCRAFT COMPANY","310R","1976","006"
"BEECH AIRCRAFT CORP","76","1978","004"
"PIPER AIRCRAFT CORP","PA-31-350","1981","008"
"CESSNA AIRCRAFT COMPANY","421B","1974","008"
"PIPER AIRCRAFT CORP","PA-23-250","1966","006"
"PIPER AIRCRAFT CORP","PA-34-200T","1977","007"
"PIPER AIRCRAFT CORP","PA-31-350","1974","008"
"PIPER AIRCRAFT CORP","PA-31-350","1979","008"
"KAVANAGH BALLOONS","B-350","2007","019"
"PIPER AIRCRAFT CORP","PA-31-350","1978","008"
"PIPER AIRCRAFT CORP","PA-31","1969","008"
"PIPER AIRCRAFT CORP","PA-31","1981","008"
"BEECH AIRCRAFT CORP","58","1981","006"
"PIPER AIRCRAFT CORP","PA-31-350","1981","008"
"CESSNA AIRCRAFT COMPANY","402C","1981","010"
"CESSNA AIRCRAFT COMPANY","404","1981","008"
"CESSNA AIRCRAFT COMPANY","404","1981","052"
"CESSNA AIRCRAFT COMPANY","441","1978","010"
"BEECH AIRCRAFT CORP","76","1978","004"
"BEECH AIRCRAFT CORP","58","1973","006"
"BEECH AIRCRAFT CORP","36","1968","010"
"BEECH AIRCRAFT CORP","58","1976","006"
"PITTS AVIATION ENTERPRISES","S-2E","1980","004"
"PIPER AIRCRAFT CORP","PA-30","1963","004"
"KAVANAGH BALLOONS","B-350","2000","019"
"PIPER AIRCRAFT CORP","PA-31-350","1979","008"
"BEECH AIRCRAFT CORP","76","1978","004"
"PIPER AIRCRAFT CORP","PA-34-200T","1977","007"
"CESSNA AIRCRAFT COMPANY","310L","1966","006"
"PIPER AIRCRAFT CORP","PA-31","1967","008"
"CESSNA AIRCRAFT COMPANY","402B","1974","010"
"BEECH AIRCRAFT CORP","76","1978","004"
"BEECH AIRCRAFT CORP","95-B55","1977","006"
"CESSNA AIRCRAFT COMPANY","310R","1977","006"
"CESSNA AIRCRAFT COMPANY","402B","1974","010"
"PIPER AIRCRAFT, INC.","PA-44-180","2017","004"
"PIPER AIRCRAFT CORP","PA-23-250","1970","006"
"PIPER AIRCRAFT CORP","PA-34-220T","1981","007"
"BEECH AIRCRAFT CORP","95-B55","1969","006"
"PIPER AIRCRAFT CORP","PA-23-250","1973","006"
"PIPER AIRCRAFT CORP","PA-23-250","1968","006"
"PIPER AIRCRAFT CORP","PA-44-180","1981","004"
"BELL HELICOPTER TEXTRON CANADA LTD","407","2013","004"
"BOMBARDIER INC","CL-600-2B16","1999","022"
"BOMBARDIER INC","CL-600-2B16","1999","021"
"BEECH AIRCRAFT CORP","58P","1976","006"
"BEECH AIRCRAFT CORP","58","1978","006"
"CESSNA AIRCRAFT COMPANY","310R","1976","006"
"BEECH AIRCRAFT CORP","58","1981","006"
"RAYTHEON AIRCRAFT COMPANY","HAWKER 850XP","2008","015"
"CESSNA AIRCRAFT COMPANY","402A","1969","009"
"PIPER AIRCRAFT CORP","PA-30","1970","004"
"CESSNA AIRCRAFT COMPANY","310R","1977","006"
"MCDONNELL DOUGLAS CORP.","DC3C-S1C3G","1944","032"
"CESSNA AIRCRAFT COMPANY","310L","1967","006"
"CESSNA AIRCRAFT COMPANY","402","1967","009"
"CESSNA AIRCRAFT COMPANY","402","1967","002"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","EMB-110P1","1981","020"
"BEECH AIRCRAFT CORP","J50","1962","006"
"PIPER AIRCRAFT CORP","PA-31","1969","008"
"PIPER AIRCRAFT CORP","PA-31-325","1981","008"
"BEECH AIRCRAFT CORP","58","1974","006"
"CESSNA AIRCRAFT COMPANY","425","1985","012"
"CESSNA AIRCRAFT COMPANY","425","1985","008"
"KAVANAGH BALLOONS","B-350","2009","019"
"BEECH AIRCRAFT CORP","95-B55","1975","006"
"PIPER AIRCRAFT CORP","PA-31","1979","008"
"PIPER AIRCRAFT CORP","PA-34-200T","1977","007"
"PIPER AIRCRAFT CORP","PA-31","1982","008"
"BEECH AIRCRAFT CORP","76","1980","004"
"BEECH AIRCRAFT CORP","76","1981","004"
"PIPER AIRCRAFT CORP","PA-34-200","1974","007"
"CESSNA AIRCRAFT COMPANY","402","1967","009"
"CESSNA AIRCRAFT COMPANY","402","1967","002"
"CESSNA AIRCRAFT COMPANY","310R","1977","006"
"KAVANAGH BALLOONS","B-350","2007","019"
"PIPER AIRCRAFT CORP","PA-42","1980","011"
"AMATEUR BUILT AIRCRAFT","RV-10","2014","004"
"BEECH AIRCRAFT CORP","58","1974","006"
"CESSNA AIRCRAFT COMPANY","310R","1978","006"
"BEECH AIRCRAFT CORP","35","1948","010"
"PIPER AIRCRAFT CORP","PA-31-350","1974","008"
"PIPER AIRCRAFT CORP","PA-31-350","1978","008"
"CESSNA AIRCRAFT COMPANY","402B","1978","010"
"THE BOEING COMPANY","737-8FE","2010","189"
"CESSNA AIRCRAFT COMPANY","310R","1978","006"
"BEECH AIRCRAFT CORP","400A","1997","010"
"PIPER AIRCRAFT CORP","PA-23-250","1968","006"
"CESSNA AIRCRAFT COMPANY","402C","1979","010"
"BEECH AIRCRAFT CORP","36","1969","010"
"CONSOLIDATED AERONAUTICS INC","PBY-6A","1945","004"
"AERO COMMANDER","560-E","1959","007"
"AERO COMMANDER","680-E","1959","007"
"BEECH AIRCRAFT CORP","95-B55","1974","006"
"PIPER AIRCRAFT CORP","PA-23-250","1965","006"
"CESSNA AIRCRAFT COMPANY","414A","1979","008"
"PIPER AIRCRAFT CORP","PA-34-200","1972","007"
"BEECH AIRCRAFT CORP","B200C","1981","011"
"BEECH AIRCRAFT CORP","B200C","1981","015"
"BEECH AIRCRAFT CORP","76","1981","004"
"BOMBARDIER INC","BD-700-1A10","2008","023"
"CESSNA AIRCRAFT COMPANY","550","2001","008"
"PIPER AIRCRAFT CORP","PA-31-350","1977","008"
"CESSNA AIRCRAFT COMPANY","404","1981","008"
"CESSNA AIRCRAFT COMPANY","404","1981","052"
"BOMBARDIER INC","BD-700-1A10","2003","023"
"BOMBARDIER INC","BD-700-1A10","2007","023"
"BEECH AIRCRAFT CORP","B50","1954","006"
"CESSNA AIRCRAFT COMPANY","525","1996","008"
"CESSNA AIRCRAFT COMPANY","T337G","1974","006"
"BEECH AIRCRAFT CORP","95-C55","1967","006"
"BEECH AIRCRAFT CORP","C90","1971","009"
"BEECH AIRCRAFT CORP","D95A","1964","006"
"VULCANAIR S.P.A.","P.68C","2002","007"
"KAVANAGH BALLOONS","B-350","2007","019"
"GULFSTREAM AEROSPACE CORP","G-IV","1988","022"
"PIPER AIRCRAFT CORP","PA-34-200T","1975","007"
"SCOTTISH AVIATION","101","1971","011"
"CESSNA AIRCRAFT COMPANY","340A","1976","006"
"CESSNA AIRCRAFT COMPANY","340A","1976","037"
"CESSNA AIRCRAFT COMPANY","310R","1980","006"
"VULCANAIR S.P.A.","P.68C","2008","007"
"KAVANAGH BALLOONS","B-350","2003","019"
"PIPER AIRCRAFT CORP","PA-31-350","1981","008"
"CESSNA AIRCRAFT COMPANY","310K","1966","006"
"BEECH AIRCRAFT CORP","D55","1970","006"
"BEECH AIRCRAFT CORP","58","1981","006"
"CESSNA AIRCRAFT COMPANY","310R","1975","006"
"CESSNA AIRCRAFT COMPANY","310Q","1974","006"
"BEECH AIRCRAFT CORP","58","1970","006"
"BELL HELICOPTER TEXTRON CANADA LTD","407","2008","004"
"CESSNA AIRCRAFT COMPANY","310K","1966","006"
"BEECH AIRCRAFT CORP","76","1979","004"
"FAIRCHILD INDUSTRIES INC","SA227-DC","1999","025"
"RAYTHEON AIRCRAFT COMPANY","58","1998","006"
"PIPER AIRCRAFT CORP","PA-34-200T","1977","007"
"PIPER AIRCRAFT CORP","PA-30","1969","004"
"PIPER AIRCRAFT CORP","PA-34-200T","1975","007"
"CESSNA AIRCRAFT COMPANY","310R","1981","006"
"PIPER AIRCRAFT CORP","PA-34-200T","1978","007"
"CESSNA AIRCRAFT COMPANY","340","1973","006"
"CESSNA AIRCRAFT COMPANY","340","1973","046"
"CESSNA AIRCRAFT COMPANY","337H","1978","006"
"CESSNA AIRCRAFT COMPANY","340","1972","006"
"CESSNA AIRCRAFT COMPANY","340","1972","046"
"GRUMMAN AMERICAN AVIATION CORP","G-73","1948","012"
"DASSAULT- AVIATION","FALCON 7X","2013","011"
"BEECH AIRCRAFT CORP","95-B55","1977","006"
"CESSNA AIRCRAFT COMPANY","310R","1980","006"
"CESSNA AIRCRAFT COMPANY","501","1979","008"
"PIPER AIRCRAFT CORP","PA-23-250","1969","006"
"RAYTHEON AIRCRAFT COMPANY","G58","2006","006"
"PIPER AIRCRAFT CORP","PA-30","1968","004"
"PIPER AIRCRAFT CORP","PA-39","1971","006"
"BEECH AIRCRAFT CORP","B200C","1984","011"
"BEECH AIRCRAFT CORP","B200C","1984","015"
"BEECH AIRCRAFT CORP","58","1988","006"
"CESSNA AIRCRAFT COMPANY","310R","1979","006"
"LEARJET INC","45","2001","012"
"CESSNA AIRCRAFT COMPANY","402C","1980","010"
"PIPER AIRCRAFT CORP","PA-31","1967","008"
"PIPER AIRCRAFT CORP","PA-31","1974","008"
"PIPER AIRCRAFT CORP","PA-44-180","2004","004"
"PIPER AIRCRAFT CORP","PA-44-180","2005","004"
"CESSNA AIRCRAFT COMPANY","525","1996","008"
"CESSNA AIRCRAFT COMPANY","310R","1977","006"
"CESSNA AIRCRAFT COMPANY","310R","1975","006"
"CESSNA AIRCRAFT COMPANY","310C","1958","005"
"PIPER AIRCRAFT CORP","PA-34-200T","1976","007"
"AERO COMMANDER","500-A","1963","007"
"BEECH AIRCRAFT CORP","95-A55","1963","006"
"PIPER AIRCRAFT CORP","PA-23-250","1978","006"
"BEECH AIRCRAFT CORP","95-B55","1978","006"
"CESSNA AIRCRAFT COMPANY","421B","1974","008"
"PIPER AIRCRAFT CORP","PA-31","1978","008"
"PIPER AIRCRAFT CORP","PA-31","1980","008"
"PIPER AIRCRAFT CORP","PA-31","1979","008"
"BEECH AIRCRAFT CORP","23","1963","008"
"BEECH AIRCRAFT CORP","D55","1968","006"
"AMATEUR BUILT AIRCRAFT","DEFIANT","2006","004"
"PIPER AIRCRAFT CORP","PA-30","1965","004"
"CESSNA AIRCRAFT COMPANY","650","1992","012"
"PIPER AIRCRAFT CORP","PA-34-200T","1977","007"
"BEECH AIRCRAFT CORP","36","1968","010"
"BELL HELICOPTER CO","407","2006","004"
"CESSNA AIRCRAFT COMPANY","310J","1965","006"
"CESSNA AIRCRAFT COMPANY","404","1981","008"
"CESSNA AIRCRAFT COMPANY","404","1981","052"
"BEECH AIRCRAFT CORP","58","1981","006"
"PIPER AIRCRAFT CORP","PA-23-250","1962","006"
"BEECH AIRCRAFT CORP","58","1979","006"
"CESSNA AIRCRAFT COMPANY","337G","1974","006"
"AMATEUR BUILT AIRCRAFT","100","1974","011"
"MCDONNELL DOUGLAS CORP.","DC3C-S1C3G","1943","032"
"CESSNA AIRCRAFT COMPANY","337","1964","006"
"DIAMOND AIRCRAFT INDUSTRIES GMBH","DA 62","2016","007"
"BEECH AIRCRAFT CORP","23","1963","008"
"CESSNA AIRCRAFT COMPANY","337B","1966","006"
"CESSNA AIRCRAFT COMPANY","340A","1976","006"
"CESSNA AIRCRAFT COMPANY","340A","1976","037"
"PIPER AIRCRAFT CORP","PA-30","1969","004"
"CESSNA AIRCRAFT COMPANY","414A","1978","008"
"CESSNA AIRCRAFT COMPANY","310R","1979","006"
"CESSNA AIRCRAFT COMPANY","340A","1977","006"
"CESSNA AIRCRAFT COMPANY","340A","1977","037"
"PIPER AIRCRAFT CORP","PA-23-160","1958","005"
"PIPER AIRCRAFT CORP","PA-30","1964","004"
"DIAMOND AIRCRAFT INDUSTRIES","DA 42","2007","004"
"PIPER AIRCRAFT CORP","PA-31-350","1978","008"
"PIPER AIRCRAFT CORP","PA-23-250","1968","006"
"DIAMOND AIRCRAFT INDUSTRIES","DA 42","2007","004"
"MITSUBISHI AIRCRAFT INT","MU-2B-20","1968","009"
"CESSNA AIRCRAFT COMPANY","337B","1966","006"
"NORTH AMERICAN AVIATION INC","T-28B","1955","002"
"PIPER AIRCRAFT CORP","PA-30","1965","004"
"AMATEUR BUILT AIRCRAFT","RV-10","2011","004"
"BEECH AIRCRAFT CORP","76","1979","004"
"BEECH AIRCRAFT CORP","76","1978","004"
"CESSNA AIRCRAFT COMPANY","310R","1975","006"
"PIPER AIRCRAFT CORP","PA-31-350","1979","008"
"BEECH AIRCRAFT CORP","76","1978","004"
"CESSNA AIRCRAFT COMPANY","310K","1966","006"
"PIPER AIRCRAFT CORP","PA-31","1969","008"
"BEECH AIRCRAFT CORP","95-C55","1967","006"
"PIPER AIRCRAFT CORP","PA-31-350","1976","008"
"BEECH AIRCRAFT CORP","200","1980","011"
"BEECH AIRCRAFT CORP","200","1980","019"
"BEECH AIRCRAFT CORP","200","1980","011"
"ROCKWELL INTERNATIONAL","500-S","1975","007"
"CESSNA AIRCRAFT COMPANY","310R","1975","006"
"MCDONNELL DOUGLAS CORP.","C-47B","1945","032"
"LOCKHEED AIRCRAFT CORP","C-121C","1955","112"
"CONVAIR","C-131F","1956","054"
"PIPER AIRCRAFT CORP","PA-30","1967","004"
"MCDONNELL DOUGLAS CORP.","C54E-DC","1945","060"
"AIRBUS INDUSTRIE","A330-202","2002","379"
"AIRBUS INDUSTRIE","A330-202","2003","379"
"AIRBUS INDUSTRIE","A330-202","2007","379"
"AIRBUS INDUSTRIE","A330-203","2007","381"
"AIRBUS INDUSTRIE","A330-202","2008","379"
"AIRBUS INDUSTRIE","A330-203","2008","381"
"AIRBUS INDUSTRIE","A330-202","2009","379"
"AIRBUS INDUSTRIE","A330-202","2010","379"
"AIRBUS INDUSTRIE","A330-202","2011","379"
"AIRBUS INDUSTRIE","A330-202","2012","379"
"PIPER AIRCRAFT CORP","PA-31-350","1974","008"
"PIPER AIRCRAFT CORP","PA-31-350","1979","008"
"CESSNA AIRCRAFT COMPANY","421B","1973","008"
"BEECH AIRCRAFT CORP","58","1979","006"
"PIPER AIRCRAFT CORP","PA-23","1957","005"
"BEECH AIRCRAFT CORP","95-55","1961","006"
"CESSNA AIRCRAFT COMPANY","310L","1967","006"
"BEECH AIRCRAFT CORP","58","1970","006"
"PIPER AIRCRAFT CORP","PA-30","1969","004"
"PIPER AIRCRAFT CORP","PA-31-350","1973","008"
"PIPER AIRCRAFT CORP","PA-30","1967","004"
"CESSNA AIRCRAFT COMPANY","550","1982","008"
"RAYTHEON AIRCRAFT COMPANY","B200","2000","011"
"RAYTHEON AIRCRAFT COMPANY","B200","2000","015"
"RAYTHEON AIRCRAFT COMPANY","B200","2000","011"
"THE BOEING COMPANY","767-381F","2006","330"
"PIPER AIRCRAFT CORP","PA-23-250","1974","006"
"BEECH AIRCRAFT CORP","95-B55","1969","006"
"RAYTHEON AIRCRAFT COMPANY","400A","2005","010"
"HAWKER BEECHCRAFT CORPORATION","400A","2008","010"
"PIPER AIRCRAFT CORP","PA-31","1970","008"
"CESSNA AIRCRAFT COMPANY","510","2009","007"
"BEECH AIRCRAFT CORP","B100","1980","011"
"CESSNA AIRCRAFT COMPANY","550","1980","008"
"BEECH AIRCRAFT CORP","1900D","1995","019"
"S.A.A.B. AIRCRAFT CO","340B","1995","037"
"S.A.A.B. AIRCRAFT CO","340B","1995","039"
"S.A.A.B. AIRCRAFT CO","340A","1987","006"
"S.A.A.B. AIRCRAFT CO","340A","1987","037"
"S.A.A.B. AIRCRAFT CO","340B","1991","037"
"S.A.A.B. AIRCRAFT CO","340B","1991","039"
"ROCKWELL INTERNATIONAL","100","1968","011"
"BEECH AIRCRAFT CORP","1900C","1990","019"
"BEECH AIRCRAFT CORP","C90A","1994","009"
"PIPER AIRCRAFT CORP","PA-23-160","1961","005"
"CESSNA AIRCRAFT COMPANY","340A","1976","006"
"CESSNA AIRCRAFT COMPANY","340A","1976","037"
"CESSNA AIRCRAFT COMPANY","S550","1985","008"
"BEECH AIRCRAFT CORP","58","1986","006"
"BEECH AIRCRAFT CORP","58","1985","006"
"CESSNA AIRCRAFT COMPANY","404","1981","008"
"CESSNA AIRCRAFT COMPANY","404","1981","052"
"CESSNA AIRCRAFT COMPANY","337G","1973","006"
"HAWKER BEECHCRAFT CORPORATION","G58","2012","006"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","EMB-110P1","1979","020"
"PIPER AIRCRAFT CORP","PA-23-250","1964","006"
"PIPER AIRCRAFT CORP","PA-30","1966","004"
"CESSNA AIRCRAFT COMPANY","441","1978","010"
"PIPER AIRCRAFT CORP","PA-44-180T","1981","004"
"CESSNA AIRCRAFT COMPANY","421C","1977","008"
"PIPER AIRCRAFT CORP","PA-30","1966","004"
"GATES LEARJET CORP","35A","1986","010"
"AMATEUR BUILT AIRCRAFT","RV-10","2007","004"
"GATES LEARJET CORP","35A","1977","010"
"PIPER AIRCRAFT CORP","PA-34-200","1973","007"
"BEECH AIRCRAFT CORP","58","1971","006"
"PIPER AIRCRAFT CORP","PA-31-325","1981","008"
"KAVANAGH BALLOONS","B-350","2007","019"
"PITTS AVIATION ENTERPRISES","S-2A","1978","002"
"BEECH AIRCRAFT CORP","95-B55","1975","006"
"PIPER AIRCRAFT CORP","PA-30","1969","004"
"RAYTHEON AIRCRAFT COMPANY","B200","1999","011"
"RAYTHEON AIRCRAFT COMPANY","B200","1999","015"
"RAYTHEON AIRCRAFT COMPANY","B200","1999","011"
"BEECH AIRCRAFT CORP","76","1978","004"
"KAVANAGH BALLOONS","B-350","2011","019"
"BEECH AIRCRAFT CORP","B300","1994","019"
"AERO COMMANDER","500-S","1975","007"
"AERO COMMANDER","500-U","1967","007"
"CESSNA AIRCRAFT COMPANY","680","2006","007"
"CESSNA AIRCRAFT COMPANY","680","2006","009"
"ROCKWELL INTERNATIONAL","100","1967","011"
"CESSNA AIRCRAFT COMPANY","680","2007","007"
"CESSNA AIRCRAFT COMPANY","680","2007","009"
"BELL HELICOPTER TEXTRON CANADA LTD","407","2005","004"
"PIPER AIRCRAFT CORP","PA-31","1969","008"
"BEECH AIRCRAFT CORP","65-B80","1967","009"
"BEECH AIRCRAFT CORP","58","1972","006"
"CESSNA AIRCRAFT COMPANY","550","2003","008"
"REIMS AVIATION S.A.","F406","1990","014"
"HAWKER BEECHCRAFT CORPORATION","G58","2011","006"
"BEECH AIRCRAFT CORP","58","1981","006"
"RAYTHEON AIRCRAFT COMPANY","58","2000","006"
"PIPER AIRCRAFT CORP","PA-34-200","1972","007"
"PIPER AIRCRAFT CORP","PA-23","1960","005"
"CESSNA AIRCRAFT COMPANY","310R","1977","006"
"BEECH AIRCRAFT CORP","23","1963","008"
"CESSNA AIRCRAFT COMPANY","501","1979","008"
"CESSNA AIRCRAFT COMPANY","414A","1981","008"
"HAWKER BEECHCRAFT CORPORATION","B200","2007","011"
"HAWKER BEECHCRAFT CORPORATION","B200","2007","015"
"HAWKER BEECHCRAFT CORPORATION","B200","2007","011"
"RAYTHEON AIRCRAFT COMPANY","B200","2007","011"
"RAYTHEON AIRCRAFT COMPANY","B200","2007","015"
"RAYTHEON AIRCRAFT COMPANY","B200","2007","011"
"TEXTRON AVIATION INC.","B300C","2016","019"
"TEXTRON AVIATION INC.","B300C","2016","018"
"TEXTRON AVIATION INC.","B300C","2016","010"
"TEXTRON AVIATION INC.","B300C","2016","019"
"TEXTRON AVIATION INC.","B300C","2016","018"
"TEXTRON AVIATION INC.","B300C","2016","010"
"PILATUS AIRCRAFT LTD","PC-12/45","2000","012"
"TEXTRON AVIATION INC.","B300C","2015","019"
"TEXTRON AVIATION INC.","B300C","2015","018"
"TEXTRON AVIATION INC.","B300C","2015","010"
"HAWKER BEECHCRAFT CORPORATION","B200","2009","011"
"HAWKER BEECHCRAFT CORPORATION","B200","2009","015"
"HAWKER BEECHCRAFT CORPORATION","B200","2009","011"
