"name","latitude_deg","longitude_deg","municipality"
"Deputatskiy Airport","69.392503","139.890012","Deputatskiy"
"Levashovo Air Base","60.086700439453125","30.193300247192383","St. Petersburg"
"Afrikanda Air Base","67.456703186","32.7867012024","Afrikanda"
"Aleysk Air Base","52.483299255371094","82.69999694824219","Aleysk"
"Andreapol Air Base","56.643299","32.313301","Andreapol"
"Arabatuk Air Base","50.223801","117.098999","Daurija"
"Ashchebutak Air Base","51.034999847412","59.168300628662","Novoorsk"
"Bada Air Base","51.406917","109.900091","Bada"
"Bakhmutovo Air Base","56.371700286865234","34.08829879760742","Rzhev"
"Balashov Air Base","51.53329849243164","43.29999923706055","Balashov"
"Baltiysk Air Base","54.61000061035156","19.86829948425293","Baltiysk"
"Khariusny Airfield","67.3797730111","34.213142395","Umbozero"
"Bezrechnaya-2 Air Base","50.75","116.21700286865234","Mirnaya"
"Borisoglebsk Air Base","51.366699","42.178299","Borisoglebsk"
"Khotilovo Air Base","57.654998779296875","34.099998474121094","Bologoye"
"Lipetsk Air Base","52.6349983215332","39.44499969482422","Lipetsk"
"Pugachev Airport","51.977054595947266","48.72041702270508","Pugachev"
"Buturlinovka Air Base","50.79220962524414","40.60615539550781","Buturlinovka"
"Chebenki Air Base","51.97489929199219","55.54899978637695","Orenburg"
"Chekurovka Air Base","71.06500244140625","127.33799743652344","Tiksi"
"Korsakov Heliport","46.617698669433594","142.81399536132812","Korsakov-Sakhalin Island"
"Chornoye Air Base","55.75","38.06669998168945","Moscow"
"Chindant Air Base","50.39670181274414","116.34700012207031","Borzya"
"Krasnaya Polyana Heliport","43.6765319836","40.206634998300004","Krasnaya Polyana"
"Nogliki Airport","51.7801017761","143.139007568","Nogliki-Sakhalin Island"
"Novaya Airport","46.709800720214844","142.8699951171875","Novaya-Sakhalin Island"
"Rybnovsk Airport","53.247100830078125","141.80599975585938","Rybnovsk-Sakhalin Island"
"Kaliningrad Chkalovsk Naval Air Base","54.7666015625","20.39699935913086","Kaliningrad"
"Khodynka Airport","55.78860092163086","37.52989959716797","Moscow"
"Shimanovsk Airport","51.985001","127.643331","Shimanovsk"
"Plestsy Airport","62.716702","40.4883","Plesetsk"
"Verkhnyaya Toyma Airport","62.23833465576172","45.02000045776367","Verkhnyaya Toyma"
"Grozny North Airport","43.388302","45.698601","Grozny"
"Irkutsk Northwest Airport","52.36830139160156","104.18299865722656","Irkutsk"
"Kaliningrad Devau Airport","54.725128173828125","20.573894500732422","Kaliningrad"
"Palana (East) Airport","59.05833435058594","159.96665954589844","Palana"
"Kachalovka Airfield","67.98699951171875","39.834999084472656","Kachalovka"
"Syktyvkar Southwest","61.586666107177734","50.52000045776367","Syktyvkar"
"Taly Ruchey Air Base","66.889999","33.883301","Umba"
"Pravdinsk Airport","56.52170181274414","43.47999954223633","Balakhna"
"Mius Airport","54.9583320618","43.311668396","Sarov"
"Krasnovishersk Airport","60.4106330871582","57.13611602783203","Krasnovishersk"
"Saratov South Airport","51.47780227661133","45.94259262084961","Saratov"
"Tatischevo Air Base","51.6843986511","45.5481147766","Tatischevo"
"Kazan Old Airport","55.7874984741","49.195278167699996","Kazan"
"Menzelinsk Airport","55.7200012207","53.0600013733","Menzelinsk"
"Yelabuga North Airport","55.79280090332031","52.132999420166016","Yelabuga"
"Yamburg Airport","67.98666381835938","75.0999984741211","Yamburg"
"Nikolsk Airport","59.496665954589844","45.518333435058594","Nikolsk"
"Baley Airport","51.561065673828125","116.70287322998047","Baley"
"Iultin Airport","67.9114990234375","-178.6719970703125","Iul'tin"
"Kyren Airport","51.6780891418457","102.15654754638672","Kyren"
"Bereznik Airport","62.8233337402","42.796665191699994","Bereznik"
"Taksimo Airport","56.36166763305664","114.93000030517578","Taksimo"
"Tarnogskiy Gorodok Airport","60.503299713134766","43.60169982910156","Tarnogskiy Gorodok"
"Tasayevo Airport","57.17499923706055","94.88999938964844","Tasayevo"
"Alakurtti Naval Air Base","66.97333526611328","30.344999313354492","Alakurtti"
"Chernyakhovsk Naval Air Base","54.60166549682617","21.781667709350586","Chernyakhovsk"
"Donskoye Air Base","54.934391021728516","19.98241424560547","Donskoye"
"Kalinovskaya Airfield","43.599998474121094","45.529998779296875","Kalinovskaya"
"Lakhta Naval Air Base","64.383331","40.716667","Arkhangelsk"
"Ostrov Naval Air Base","57.299999","28.4333","Ostrov"
"Pribylovo Naval Air Base","60.45833206176758","28.746667861938477","Pribilovo"
"Severomorsk-2 Naval Air Base","69.01499938964844","33.29166793823242","Severomorsk"
"Veshchevo Naval Air Base","60.673301696777344","29.16670036315918","Veshchevo"
"Manushkino Airfield","59.8718986511","30.802799224900003","Manushkino"
"Gostilitsy Airfield","59.72669982910156","29.63949966430664","Gostilitsy"
"Borki Airfield","58.37120056152344","31.04360008239746","Novgorod"
"Korpikyulya Airfield","59.60499954223633","30.272300720214844","Gatchina"
"Kuznetsovo Airfield","59.245201110839844","29.945199966430664","Rozhdestveno"
"Murmashi Airfield","68.8067","32.8077","Murmansk"
"Leonidovo Air Base","49.27330017089844","142.92799377441406","Leonidovo"
"Bolchary Airport","59.8203010559082","68.83329772949219","Bolchary"
"Dolgoshchelye Airport","66.053492","43.424625","Dolgoshchelye"
"Urup Airport","46.2071762085","150.526473999","Kastrikum"
"Krymsk Air Base","44.959999084472656","38","Krymsk"
"Krasnodar Tsentralny Air Base","45.0800018311","38.9469985962","Krasnodar"
"Baronovskiy Airfield","44.9248","40.9883","Armavir"
"Myskhako Airport","44.66999816894531","37.7760009765625","Novorossiysk"
"Sasovo Airfield","54.354000091552734","41.9739990234375","Sasovo"
"Buguruslan Glavny Airfield","53.61800003049999","52.444000244099996","Buguruslan"
"Troekurovka Air Base","53.2239990234375","48.54999923706055","Syzran"
"Bezenchuk Airfield","52.96500015258789","49.37799835205078","Bezenchuk"
"Oktyabrskiy Airfield","44.64500045776367","40.22200012207031","Maykop"
"Oktyabrskiy Air Base","47.970001220703125","43.720001220703125","Oktyabrskiy"
"Aleksandrovskoye Airport","60.44300079345703","77.83899688720703","Aleksandrovskoye"
"Amazar Air Base","53.791999816895","120.91999816895","Amazar"
"Atkarsk Airport","51.801998138427734","45.11199951171875","Atkarsk"
"Azov Airfield","47.084999084473","39.407001495361","Azov"
"Barabinsk Airport","55.36000061035156","78.30000305175781","Barabinsk"
"Barguzin Airport","53.58700180053711","109.69999694824219","Barguzin"
"Bataysk Air Base","47.117000579833984","39.79499816894531","Bataysk"
"Berdsk Airfield","54.73500061035156","83.09500122070312","Berdsk"
"ObGES Airfield","54.874000549316406","82.98300170898438","Novosibirsk"
"Mochische Airfield","55.16899871826172","83.14299774169922","Novosibirsk"
"Dresba Air Base","69.36329650878906","161.56199645996094","Pevek"
"Yevsino Airfield","54.407001495399996","83.24199676510001","Evsino"
"Kamen-na-Obi Airfield","53.792999267599996","81.1500015259","Kamen-na-Obi"
"Kalmanka Airfield","53.125","83.37999725341797","Novo-Romanovo"
"Severnoye Airport","56.3349990845","78.3550033569","Severnoe"
"Klyuchi Airfield","52.26499938964844","79.2020034790039","Klyuchi"
"Chistoozyornoe Airfield","54.659000396728516","76.53700256347656","Chistoozyornoe"
"Srednebeloye Helicopter Base","50.691002","128.009995","Srednebeloye"
"Ishim Airfield","56.08599853515625","69.4530029296875","Ishim"
"Verkhneimbatsk Airport","63.15599822998047","87.9739990234375","Verkhneimbatsk"
"Yalutorovsk Airfield","56.66699981689453","66.25800323486328","Yalutorovsk"
"Bobrovka Air Base","53.14500045776367","50.709999084472656","Kinel"
"Borzya Zapadnaya Airfield","50.354000091552734","116.26000213623047","Borzya"
"Bryansk Airport","53.27000045776367","34.33700180053711","Bryansk"
"Budyonnovsk Air Base","44.83000183105469","44.01300048828125","Budyonnovsk"
"Buzuluk Airport","52.8129997253418","52.22200012207031","Buzuluk"
"Yefremov Air Base","53.1150016784668","38.24300003051758","Yefremov"
"Troitskoye Air Base","46.455002","44.209999","Troitskoye"
"Chernigovka Air Base","44.32500076293945","132.5449981689453","Chernigovka"
"Kashtak Airfield","52.11000061035156","113.5","Chita"
"Chizha Airport","67.08399963378906","44.367000579833984","Chizha"
"Esso Airport","55.93299865722656","158.7169952392578","Esso"
"Galyonki Air Base","44.095001220703125","131.8000030517578","Galyonki"
"Gazimurskiy Zavod Airport","51.547000885009766","118.37000274658203","Gazimurskiy Zavod"
"Girvas Air Base","62.483001708984375","33.75","Girvas"
"Goryachinsk Airport","53.01499938964844","108.3270034790039","Goryachinsk"
"Gryazi Airfield","52.43299865722656","39.900001525878906","Gryazi"
"Idrinskoye Airport","54.362998962402344","91.98699951171875","Idrinskoye"
"Imeni Poliny Osipenko Airport","52.439998626708984","136.4739990234375","Imeni Poliny Osipenko"
"Avachinskiy Heliport","53.15999984741211","158.38499450683594","Yelizovo"
"Dubrovitsy Airfield","55.415000915527344","37.47999954223633","Podolsk"
"Chaikovskiy Airport","56.75","54.14500045776367","Chaikovskiy"
"Froly Airfield","57.9010009765625","56.244998931884766","Froly"
"Kurkachi Airfield","55.97999954223633","49.58100128173828","Kurkachi"
"Maikhe Airfield","43.42300033569336","132.4250030517578","Shtykovo"
"Uglovaya Air Base","43.3489990234375","132.0570068359375","Artyom"
"Saint Petersburg Children's Hospital No.1 Helipad","59.836299896240234","30.186500549316406","Saint Petersburg"
"Petropavlovskaya Krepost Helipad","59.9514835454","30.3137147427","Saint Petersburg"
"Mozdok Air Base","43.78499984741211","44.599998474121094","Mozdok"
"Komendantskiy Airfield","59.99700164794922","30.290000915527344","St. Petersburg"
"Ropsha Airfield","59.71099853515625","29.80500030517578","Ropsha"
"Seltso Airfield","59.617000579833984","29.542999267578125","Seltso"
"Solnechniy Airfield","56.108001708984375","92.93699645996094","Krasnoyarsk"
"Manskiy Airfield","55.76300048828125","93.7770004272461","Shalinskoye"
"Severskaya Airfield","44.85499954223633","38.63999938964844","Severskaya"
"Izborsk Airport","57.71500015258789","27.70400047302246","Izborsk"
"Sennaya Guba Helipad","61.99599838256836","35.22800064086914","Sennaya Guba"
"Tikhvin Airport","59.650001525878906","33.595001220703125","Tikhvin"
"Maksimkin Yar Airport","58.68242645263672","86.82374572753906","Maksimkin Yar"
"Yegorlykskaya Airfield","46.573001861572266","40.59000015258789","Yegorlykskaya"
"Tikhoretsk Air Base","45.87900161743164","40.10499954223633","Tikhoretsk"
"Agoy Airfield","44.138999938964844","39.02799987792969","Agoy"
"Giaginskaya Airfield","44.887001037597656","39.96500015258789","Giaginskaya"
"Mozhga Airport","56.42380142211914","52.27870178222656","Mozhga"
"Sarmany Airport","55.257999420166016","52.573001861572266","Sarmanovo"
"Byngi Airfield","57.57500076293945","60.209999084472656","Nevyansk"
"Baltym Airfield","57.10900115966797","60.606998443603516","Krasny Aduy"
"Troitsk Air Base","54.11000061035156","61.53499984741211","Troitsk"
"Gudron Airfield","51.21099853515625","58.68299865722656","Orsk"
"Georgiyevka Airfield","53.28499984741211","51.03099822998047","Georgiyevka"
"Emergency Medicine Research Institute Helipad","59.873600006103516","30.358699798583984","Saint Petersburg"
"Ambassador Hotel Helipad","59.924900054932","30.310459136963","Saint Petersburg"
"Marli Helipad","59.8904533386","29.8946247101","Saint Petersburg"
"Uglich Fominskoye Helipad","57.548500061035156","38.2953987121582","Uglich"
"Yaskino Helipad","59.170249938964844","39.82509994506836","Vologda"
"Tushino Children's Hospital Helipad","55.85139846801758","37.40190124511719","Moscow"
"Alyye Parusa Helipad","55.80670166015625","37.449501037597656","Moscow"
"Solntsevo Heliport","55.643001556396484","37.387001037597656","Moscow"
"Chegdomyn Airport","51.137001037597656","132.94000244140625","Chegdomyn"
"Kyargozero Air Base","63.3050003052","34.4550018311","Ramentsy"
"Yuryevskoye Airport","56.779998779296875","36.28499984741211","Yuryevskoye"
"Marino Airstrip","56.6339988708","36.8860015869","Filimonovo"
"Torzhok Helicopter Base","57.047000885","35.0050010681","Torzhok"
"Blagoveshchenye Airfield","56.32600021362305","38.099998474121094","Sergiev Posad"
"Dubna Seaplane Base","56.71500015258789","37.05500030517578","Dubna"
"Kostomuksha Airport","64.61799621579999","30.687000274699997","Kostomuksha"
"Pugachyov Heliport","52.03300094604492","48.81999969482422","Pugachyov"
"Pyaozero Airport","65.76899719238281","30.976999282836914","Pyaozerskiy"
"Kozhin Airfield","51.125","49.63999938964844","Ozinki"
"Pushkino Heliport","56.041999816899995","37.9780006409","Zverosovkhoz"
"Sinegorye Airport","62.26499938964844","150.75","Sinegorye"
"Kinel-Cherkassy Air Base","53.46500015258789","51.560001373291016","Kinel-Cherkassy"
"Tomtor Airport","63.24300003051758","143.17300415039062","Tomtor"
"Zimovniki Air Base","47.141998291015625","42.39500045776367","Zimovniki"
"Solnechniy Airport","60.2599983215332","137.51699829101562","Ust-Ynykchan"
"Dzhebariki-Khaya Airport","62.189998626708984","135.86500549316406","Dzhebariki-Khaya"
"Typliy Klyuch Airport","62.7890014648","136.854995728","Khandyga"
"Shabanovo Airfield","57.794997","28.299999","Pskov"
"Karachikha Airfield","57.650002","39.759998","Yaroslavl"
"Koyda Airport","66.37799835205078","42.55799865722656","Koyda"
"Kanevka Airport","67.12100219726562","39.71699905395508","Kanevka"
"Sosnovka Airport","66.50399780273438","40.577999114990234","Sosnovka"
"Tetrino Airport","66.0587670784","38.28263282779999","Tetrino"
"Chavanga Airport","66.111","37.764999","Chavanga"
"Chapoma Airport","66.114998","38.825001","Chapoma"
"Derevyannoe Airport","61.606998","34.620998","Derevyannoe"
"Aginskoye Airport","55.26599884033203","94.86000061035156","Aginskoye"
"Taganrog Tsentralny Air Base","47.24645","38.8403","Taganrog"
"Arsenyev Airfield","44.143001556396","133.27000427246","Arsenyev"
"Panki Heliport","55.66830062866211","37.93199920654297","Lyubertsy"
"Ukhtomskaya Heliport","55.69729995727539","37.87900161743164","Lyubertsy"
"Zhulebino Heliport","55.6870002746582","37.84000015258789","Moscow"
"Vokhma Airport","58.91699981689453","46.72700119018555","Vokhma"
"Sormovo Airfield","56.31999969482422","43.79999923706055","Nizhniy Novgorod"
"Bolshoye Gryzlovo Airfield","54.785","37.645","Pushchino"
"Drakino Airfield","54.873","37.267","Serpukhov"
"Volosovo Airfield","55.068","37.454","Volosovo"
"Sonino Airstrip","55.295953419899995","37.79211044309999","Sonino"
"Lobanovo Airstrip","55.2868509649","37.941627502399996","Barybino"
"Malino Heliport","55.085","38.145","Malino"
"Pakhomovo Airfield","54.625","37.575","Pakhomovo"
"Bronnitsy Airfield","55.424","38.3015","Bronnitsy"
"Korobcheyevo Airfield","55.092666","38.923033","Kolomna"
"Uzunovo Airport","54.526461314500004","38.5971164703","Uzunovo"
"Rydoma Airfield","54.265","37.25","Tula"
"Myasnovo Airfield","54.213","37.551","Tula"
"Ryazhsk Airfield","53.695","40.005","Ryazhsk"
"Vatulino Airfield","55.659","36.141","Ruza"
"Bezhitsa Airfield","53.337","34.233","Bryansk"
"Kasimov Airport","54.931","41.424","Kasimov"
"Emergency Children's Surgery and Traumatology Research Institute Helipad","55.7377542577","37.6176381111","Moscow"
"Vyazma Zapadny Airstrip","55.203561416899994","34.2527103424","Vyazma"
"Kozelsk Heliport","54.054","35.757","Kozelsk"
"Medyn Airfield","54.946","35.861","Medyn"
"Starodub Airport","52.571","32.797","Starodub"
"Seshcha Air Base","53.715","33.34","Dubrovka"
"Rybinsk Yuzhny Airfield","58","38.84","Rybinsk"
"Kirzhach Airfield","56.157","38.83","Kirzhach"
"Ivanovo Yasyunikha Airfield","56.964","41.071","Ivanovo"
"Teykovo Heliport","56.843","40.485","Teykovo"
"Nikitino Airfield","56.806","37.69","Taldom"
"Kolchugino Airport","56.282","39.473","Kolchugino"
"Alferyevo Airfield","56.1","35.875","Volokolamsk"
"Yegoryevsk Airfield","55.459","39.037","Yegoryevsk"
"Novaya Heliport","55.8093","38.0454","Balashikha"
"Barvikha-3 Helipad","55.7596043747","37.282469272600004","Barvikha"
"City Clinical Hospital No.71 Helipad","55.7224908678","37.4304252863","Moscow"
"City Clinical Hospital No.20 Helipad","55.8655410432","37.6645928621","Moscow"
"Emergency Medicine Research Institute Helipad","55.7763618236","37.6385325193","Moscow"
"Nagornoye Helipad","55.9128802485","37.6252770424","Mytishchi"
"Vyazma Airport","55.1483","34.383301","Vyazma"
"City Clinical Hospital No.15 Helipad","55.7297442141","37.8306913376","Moscow"
"City Clinical Hospital No.7 Helipad","55.6615168095","37.641418576199996","Moscow"
"Bakovka Helipad","55.682744247799995","37.333753109","Moscow"
"Golitsyno Helipad","55.5770953068","36.8873906136","Golitsyno"
"Anino Helipad","55.5854762102","37.586331367499994","Moscow"
"MKAD 35 Kilometr Helipad","55.5818226716","37.572743296599995","Moscow"
"Alabino Helipad","55.5358682297","36.9638442993","Moscow"
"Ogaryovo Heliport","55.740609","37.208657","Moscow"
"Gorki-9 Heliport","55.727494","37.130055","Moscow"
"Crocus Expo Helipad","55.822586","37.384396","Krasnogorsk"
"City Children's Clinical Hospital No.9 Helipad","55.755484071599994","37.5390440226","Moscow"
"Belaya Dacha Helipad","55.6550134703","37.8673732281","Kotelniki"
"Sofrino Helipad","56.1551591134","37.9261350632","Sofrino"
"Vlasikha Helipad","55.6835124185","37.1829593182","Vlasikha"
"MKAD 63 Kilometr Helipad","55.7904882502","37.3722910881","Moscow"
"Oyok Airfield","52.551","104.45","Irkutsk"
"Rzhevka Heliport","59.979235882","30.575825572","St. Petersburg"
"Sukhaya Rechka Naval Air Base","43.029","131.542","Primorskiy"
"Vera Helipad","55.6203","38.1521","Kratovo"
"Bely Klyuch Airfield","54.1965","48.321","Ulyanovsk"
"Millerovo Air Base","48.954","40.296","Millerovo"
"Millerovo Airport","48.937","40.417","Millerovo"
"Bogorodsk Airfield","56.121","43.545","Bogorodsk"
"Primorsko-Akhtarsk Air Base","46.059","38.24","Primorsko-Akhtarsk"
"Temryuk Heliport","45.3033690157","37.3232656717","Temryuk"
"Korenovsk Air Base","45.447","39.424","Korenovsk"
"Kushchyovskaya Air Base","46.537","39.548","Kushchyovskaya"
"Goreloye Airfield","52.957","41.469","Tambov"
"Kineshma Airport","57.416","42.19","Kineshma"
"Nezhitino Airport","57.4813","43.2863","Nezhitino"
"Yuryevets Airport","57.3373","43.0966","Yuryevets"
"Krasnogorye Airport","57.7133","43.6878","Krasnogorye"
"Udskoye Airport","54.5217291038","134.423046112","Udskoye"
"Burevestnik Yacht-club Helipad","55.9795","37.5282","Dolgoprudny"
"Rechnoy Yacht-club Helipad","59.963791847799996","30.239106416699997","Saint Petersburg"
"Pereyaslavka Air Base","47.997","135.089","Pereyaslavka"
"Marinovka Air Base","48.637","43.789","Volgograd"
"Varfolomeyevka Air Base","44.261","133.413","Arsenyev"
"Lensovetovskiy Heliport","59.765504738400004","30.4800224304","Saint Petersburg"
"Volen Heliport","56.2788410955","37.476253509500005","Yakhroma"
"Pridachinskaya Damba Heliport","51.67409209","39.238754510899994","Voronezh"
"Privolzhskiy Air Base","46.396","47.893","Astrakhan"
"Kapustin Yar Airfield","48.667","45.732","Znamensk"
"Srednyaya Akhtuba Airfield","48.727902382299995","44.8650741577","Srednyaya Akhtuba"
"Beketovka Air Base","48.551","44.369","Volgograd"
"Kotelnikovo Airfield","47.635","43.095","Kotelnikovo"
"Romanovskaya Airport","47.53013307369999","42.03","Romanovskaya"
"Kholodnogorskiy Airfield","44.983","42.118","Stavropol"
"Sal'sk Airfield","46.416","41.519","Sal'sk"
"Mikhaylovka Airfield","49.976","43.338","Mikhaylovka"
"Belaya Kalitva Airport","48.217","40.82","Belaya Kalitva"
"Zernograd Air Base","46.835","40.38","Zernograd"
"Dubki Airfield","51.647","46.059","Saratov"
"Zabelskiy Airfield","54.7978028607","55.9420824051","Ufa"
"Loginovo Airfield","56.64745040139999","61.3502311707","Loginovo"
"Rozhdestveno Airfield","53.25","50.053","Samara"
"Sokol Air Base","51.284","58.605","Orsk"
"Kupino Air Base","54.352","77.354","Kupino"
"Pervomayskiy Airport","55.6702275936","41.3566589355","Pervomayskiy"
"Oryol Severny Airport","53.0044288837","36.0287618637","Oryol"
"Morshansk Air Base","53.44","41.737","Morshansk"
"Usman Airfield","52.025","39.675","Usman"
"Mordovo Airport","52.0783455164","40.7843399048","Mordovo"
"Ryshkovo Airfield","51.6561578589","36.1818408966","Kursk"
"Kamenka Air Base","53.205","44.065","Kamenka"
"Vozdvizhenka Air Base","43.907","131.923","Ussuriysk"
"Pristan Naval Air Base","43.243","132.329","Shkotovo"
"Khorol Air Base","44.449","132.124","Khorol"
"Mys Nizmenny Airport","64.8014732872","177.584424019","Ugolnye Kopi"
"Khvalynka Air Base","44.611","132.887","Spassk-Dalniy"
"Novonezhino Airfield","43.218","132.584","Novonezhino"
"Novorossiya Airfield","43.347","132.557","Smolyaninovo"
"Kansk Tsentralny Airport","56.1600347141","95.7121181488","Kansk"
"Lesnoy Airfield","53.251722177599994","83.9549446106","Barnaul"
"Charyshskoye Airfield","51.40193656820001","83.52853775019999","Charyshskoye"
"Ubinskoye Airport","55.3166","79.6666","Ubinskoye"
"Yurt-Ora Airstrip","55.4501751626","82.91646838190002","Yurt-Ora"
"Kemerovo Severny Airport","55.332720733399995","86.04554414750001","Kemerovo"
"Yuzhnaya Airfield","54.654718956","83.07869911190001","Berdsk"
"Iskitim Airfield","54.6","83.3","Iskitim"
